id,card_benefit,card_brand,card_cate,card_corp,card_id,card_image,card_name,mem_id,mem_userid,mem_username,regdate
29,"쇼핑, 주유, 카페, 통신, 푸드","AMEX, BC, VISA",CRD,우리카드,2349,https://api.card-gorilla.com:8080/storage/card/2397/card_img/26138/2397card.png,Diners Club MILEAGE,23,admin,최고관리자,2025-11-20 17:02:08
30,"쇼핑, 주유, 카페, 통신, 푸드","AMEX, BC, VISA",CRD,우리카드,2349,https://api.card-gorilla.com:8080/storage/card/2397/card_img/26138/2397card.png,Diners Club MILEAGE,23,admin,최고관리자,2025-11-20 17:02:08
31,"쇼핑, 주유, 카페, 통신, 푸드","AMEX, BC, VISA",CRD,우리카드,2349,https://api.card-gorilla.com:8080/storage/card/2397/card_img/26138/2397card.png,Diners Club MILEAGE,23,admin,최고관리자,2025-11-20 17:02:08
32,"쇼핑, 주유, 카페, 통신, 푸드","AMEX, BC, VISA",CRD,우리카드,2349,https://api.card-gorilla.com:8080/storage/card/2397/card_img/26138/2397card.png,Diners Club MILEAGE,23,admin,최고관리자,2025-11-20 17:02:08
33,"쇼핑, 주유, 카페, 통신, 푸드","AMEX, BC, VISA",CRD,우리카드,2349,https://api.card-gorilla.com:8080/storage/card/2397/card_img/26138/2397card.png,Diners Club MILEAGE,23,admin,최고관리자,2025-11-20 17:02:08
34,"쇼핑, 주유, 카페, 통신, 푸드","AMEX, BC, VISA",CRD,우리카드,2349,https://api.card-gorilla.com:8080/storage/card/2397/card_img/26138/2397card.png,Diners Club MILEAGE,23,admin,최고관리자,2025-11-20 17:02:08
35,"쇼핑, 주유, 카페, 통신, 푸드","AMEX, BC, VISA",CRD,우리카드,2349,https://api.card-gorilla.com:8080/storage/card/2397/card_img/26138/2397card.png,Diners Club MILEAGE,23,admin,최고관리자,2025-11-20 17:02:08
36,"쇼핑, 주유, 카페, 통신, 푸드","AMEX, BC, VISA",CRD,우리카드,2349,https://api.card-gorilla.com:8080/storage/card/2397/card_img/26138/2397card.png,Diners Club MILEAGE,23,admin,최고관리자,2025-11-20 17:02:08
37,"쇼핑, 주유, 카페, 통신, 푸드","AMEX, BC, VISA",CRD,우리카드,2349,https://api.card-gorilla.com:8080/storage/card/2397/card_img/26138/2397card.png,Diners Club MILEAGE,23,admin,최고관리자,2025-11-20 17:02:08
38,"쇼핑, 주유, 통신, 푸드",BC,CRD,NH농협카드,2318,https://api.card-gorilla.com:8080/storage/card/2366/card_img/25047/2366card.png,SOHO 다사로이OIL카드,23,admin,최고관리자,2025-11-20 17:11:56
39,"쇼핑, 주유, 통신, 푸드",BC,CRD,NH농협카드,2318,https://api.card-gorilla.com:8080/storage/card/2366/card_img/25047/2366card.png,SOHO 다사로이OIL카드,23,admin,최고관리자,2025-11-20 17:11:56
40,"쇼핑, 주유, 통신, 푸드",BC,CRD,NH농협카드,2318,https://api.card-gorilla.com:8080/storage/card/2366/card_img/25047/2366card.png,SOHO 다사로이OIL카드,23,admin,최고관리자,2025-11-20 17:11:56
41,"쇼핑, 주유, 통신, 푸드",BC,CRD,NH농협카드,2318,https://api.card-gorilla.com:8080/storage/card/2366/card_img/25047/2366card.png,SOHO 다사로이OIL카드,23,admin,최고관리자,2025-11-20 17:11:56
42,"쇼핑, 주유, 통신, 푸드",BC,CRD,NH농협카드,2318,https://api.card-gorilla.com:8080/storage/card/2366/card_img/25047/2366card.png,SOHO 다사로이OIL카드,23,admin,최고관리자,2025-11-20 17:11:56
43,"쇼핑, 주유, 통신, 푸드",BC,CRD,NH농협카드,2318,https://api.card-gorilla.com:8080/storage/card/2366/card_img/25047/2366card.png,SOHO 다사로이OIL카드,23,admin,최고관리자,2025-11-20 17:11:56
44,"쇼핑, 주유, 통신, 푸드",BC,CRD,NH농협카드,2318,https://api.card-gorilla.com:8080/storage/card/2366/card_img/25047/2366card.png,SOHO 다사로이OIL카드,23,admin,최고관리자,2025-11-20 17:11:56
45,"쇼핑, 주유, 카페, 통신, 푸드","AMEX, BC, MASTER",CRD,NH농협카드,2288,https://api.card-gorilla.com:8080/storage/card/2336/card_img/24298/2336card.png,올바른지구 카드,23,admin,최고관리자,2025-11-20 17:13:06
46,"쇼핑, 주유, 카페, 통신, 푸드","AMEX, BC, MASTER",CRD,NH농협카드,2288,https://api.card-gorilla.com:8080/storage/card/2336/card_img/24298/2336card.png,올바른지구 카드,23,admin,최고관리자,2025-11-20 17:13:06
47,"쇼핑, 주유, 카페, 통신, 푸드","AMEX, BC, MASTER",CRD,NH농협카드,2288,https://api.card-gorilla.com:8080/storage/card/2336/card_img/24298/2336card.png,올바른지구 카드,23,admin,최고관리자,2025-11-20 17:13:06
48,"쇼핑, 주유, 카페, 통신, 푸드","AMEX, BC, MASTER",CRD,NH농협카드,2288,https://api.card-gorilla.com:8080/storage/card/2336/card_img/24298/2336card.png,올바른지구 카드,23,admin,최고관리자,2025-11-20 17:13:06
49,"쇼핑, 주유, 카페, 통신, 푸드","AMEX, BC, MASTER",CRD,NH농협카드,2288,https://api.card-gorilla.com:8080/storage/card/2336/card_img/24298/2336card.png,올바른지구 카드,23,admin,최고관리자,2025-11-20 17:13:06
50,"쇼핑, 주유, 카페, 통신, 푸드","AMEX, BC, MASTER",CRD,NH농협카드,2288,https://api.card-gorilla.com:8080/storage/card/2336/card_img/24298/2336card.png,올바른지구 카드,23,admin,최고관리자,2025-11-20 17:13:06
51,"쇼핑, 주유","BC, MASTER",CRD,신한카드,2378,https://api.card-gorilla.com:8080/storage/card/2426/card_img/27197/2426card.png,신한카드 FANtastic S 체크(LoL),23,admin,최고관리자,2025-11-20 17:14:43
52,"쇼핑, 주유","BC, MASTER",CRD,신한카드,2378,https://api.card-gorilla.com:8080/storage/card/2426/card_img/27197/2426card.png,신한카드 FANtastic S 체크(LoL),23,admin,최고관리자,2025-11-20 17:14:43
53,"쇼핑, 주유","BC, MASTER",CRD,신한카드,2378,https://api.card-gorilla.com:8080/storage/card/2426/card_img/27197/2426card.png,신한카드 FANtastic S 체크(LoL),23,admin,최고관리자,2025-11-20 17:14:43
54,"쇼핑, 주유","BC, MASTER",CRD,신한카드,2378,https://api.card-gorilla.com:8080/storage/card/2426/card_img/27197/2426card.png,신한카드 FANtastic S 체크(LoL),23,admin,최고관리자,2025-11-20 17:14:43
55,"쇼핑, 주유","BC, MASTER",CRD,신한카드,2378,https://api.card-gorilla.com:8080/storage/card/2426/card_img/27197/2426card.png,신한카드 FANtastic S 체크(LoL),23,admin,최고관리자,2025-11-20 17:14:43
56,"쇼핑, 주유, 카페, 통신",,CRD,신한카드,2343,https://api.card-gorilla.com:8080/storage/card/2391/card_img/25864/2391card.png,신한카드 Deep Dream 체크(모베러웍스),23,admin,최고관리자,2025-11-20 17:16:16
57,"쇼핑, 주유, 카페, 통신",,CRD,신한카드,2343,https://api.card-gorilla.com:8080/storage/card/2391/card_img/25864/2391card.png,신한카드 Deep Dream 체크(모베러웍스),23,admin,최고관리자,2025-11-20 17:16:16
58,"쇼핑, 주유, 카페, 통신",,CRD,신한카드,2343,https://api.card-gorilla.com:8080/storage/card/2391/card_img/25864/2391card.png,신한카드 Deep Dream 체크(모베러웍스),23,admin,최고관리자,2025-11-20 17:16:16
59,"쇼핑, 주유, 카페, 통신",,CRD,신한카드,2343,https://api.card-gorilla.com:8080/storage/card/2391/card_img/25864/2391card.png,신한카드 Deep Dream 체크(모베러웍스),23,admin,최고관리자,2025-11-20 17:16:16
60,"쇼핑, 카페, 통신, 푸드","MASTER, VISA",CHK,롯데카드,2376,https://api.card-gorilla.com:8080/storage/card/2424/card_img/27180/2424card.png,LOCA X 구독,23,admin,최고관리자,2025-11-20 17:17:23
61,"쇼핑, 카페, 통신, 푸드","MASTER, VISA",CHK,롯데카드,2376,https://api.card-gorilla.com:8080/storage/card/2424/card_img/27180/2424card.png,LOCA X 구독,23,admin,최고관리자,2025-11-20 17:17:23
62,"쇼핑, 카페, 통신, 푸드","MASTER, VISA",CHK,롯데카드,2376,https://api.card-gorilla.com:8080/storage/card/2424/card_img/27180/2424card.png,LOCA X 구독,23,admin,최고관리자,2025-11-20 17:17:23
63,"쇼핑, 카페, 통신, 푸드","MASTER, VISA",CHK,롯데카드,2376,https://api.card-gorilla.com:8080/storage/card/2424/card_img/27180/2424card.png,LOCA X 구독,23,admin,최고관리자,2025-11-20 17:17:23
64,"쇼핑, 카페, 통신, 푸드","MASTER, VISA",CHK,롯데카드,2376,https://api.card-gorilla.com:8080/storage/card/2424/card_img/27180/2424card.png,LOCA X 구독,23,admin,최고관리자,2025-11-20 17:17:23
65,"쇼핑, 카페, 통신, 푸드","MASTER, VISA",CHK,롯데카드,2376,https://api.card-gorilla.com:8080/storage/card/2424/card_img/27180/2424card.png,LOCA X 구독,23,admin,최고관리자,2025-11-20 17:17:23
66,"쇼핑, 카페, 통신, 푸드","MASTER, VISA",CHK,롯데카드,2376,https://api.card-gorilla.com:8080/storage/card/2424/card_img/27180/2424card.png,LOCA X 구독,23,admin,최고관리자,2025-11-20 17:17:23
67,"쇼핑, 카페, 통신, 푸드","MASTER, VISA",CHK,롯데카드,2376,https://api.card-gorilla.com:8080/storage/card/2424/card_img/27180/2424card.png,LOCA X 구독,23,admin,최고관리자,2025-11-20 17:17:23
68,"쇼핑, 카페, 통신, 푸드","MASTER, VISA",CHK,롯데카드,2376,https://api.card-gorilla.com:8080/storage/card/2424/card_img/27180/2424card.png,LOCA X 구독,23,admin,최고관리자,2025-11-20 17:17:23
69,"쇼핑, 카페, 통신, 푸드","MASTER, VISA",CHK,롯데카드,2376,https://api.card-gorilla.com:8080/storage/card/2424/card_img/27180/2424card.png,LOCA X 구독,23,admin,최고관리자,2025-11-20 17:17:23
70,"쇼핑, 카페, 통신, 푸드","MASTER, VISA",CHK,롯데카드,2376,https://api.card-gorilla.com:8080/storage/card/2424/card_img/27180/2424card.png,LOCA X 구독,23,admin,최고관리자,2025-11-20 17:17:23
71,"쇼핑, 카페, 통신, 푸드","MASTER, VISA",CHK,롯데카드,2376,https://api.card-gorilla.com:8080/storage/card/2424/card_img/27180/2424card.png,LOCA X 구독,23,admin,최고관리자,2025-11-20 17:17:23
72,"쇼핑, 카페, 통신, 푸드","MASTER, VISA",CHK,롯데카드,2376,https://api.card-gorilla.com:8080/storage/card/2424/card_img/27180/2424card.png,LOCA X 구독,23,admin,최고관리자,2025-11-20 17:17:23
73,"쇼핑, 카페",MASTER,CHK,하나카드,2358,https://api.card-gorilla.com:8080/storage/card/2406/card_img/26473/2406card.png,하나 CLUB H 아메리칸 익스프레스 리저브 카드,23,admin,최고관리자,2025-11-20 17:20:37
74,"쇼핑, 카페",MASTER,CHK,하나카드,2358,https://api.card-gorilla.com:8080/storage/card/2406/card_img/26473/2406card.png,하나 CLUB H 아메리칸 익스프레스 리저브 카드,23,admin,최고관리자,2025-11-20 17:20:37
75,"쇼핑, 카페",MASTER,CHK,하나카드,2358,https://api.card-gorilla.com:8080/storage/card/2406/card_img/26473/2406card.png,하나 CLUB H 아메리칸 익스프레스 리저브 카드,23,admin,최고관리자,2025-11-20 17:20:37
76,"쇼핑, 카페",MASTER,CHK,하나카드,2358,https://api.card-gorilla.com:8080/storage/card/2406/card_img/26473/2406card.png,하나 CLUB H 아메리칸 익스프레스 리저브 카드,23,admin,최고관리자,2025-11-20 17:20:37
77,"쇼핑, 카페",MASTER,CHK,하나카드,2358,https://api.card-gorilla.com:8080/storage/card/2406/card_img/26473/2406card.png,하나 CLUB H 아메리칸 익스프레스 리저브 카드,23,admin,최고관리자,2025-11-20 17:20:37
78,"쇼핑, 카페",MASTER,CHK,하나카드,2358,https://api.card-gorilla.com:8080/storage/card/2406/card_img/26473/2406card.png,하나 CLUB H 아메리칸 익스프레스 리저브 카드,23,admin,최고관리자,2025-11-20 17:20:37
79,"쇼핑, 카페",MASTER,CHK,하나카드,2358,https://api.card-gorilla.com:8080/storage/card/2406/card_img/26473/2406card.png,하나 CLUB H 아메리칸 익스프레스 리저브 카드,23,admin,최고관리자,2025-11-20 17:20:37
80,"쇼핑, 카페",MASTER,CHK,하나카드,2358,https://api.card-gorilla.com:8080/storage/card/2406/card_img/26473/2406card.png,하나 CLUB H 아메리칸 익스프레스 리저브 카드,23,admin,최고관리자,2025-11-20 17:20:37
