id,fuel,comm,shop,food,cafe
1,1,0,0,0,0
2,0,1,0,0,1
3,1,0,1,1,1
4,0,0,0,1,0
5,0,0,0,1,0
6,1,0,0,0,0
7,0,1,0,0,1
8,1,0,0,0,1
9,0,1,1,0,0
10,1,0,0,0,0
11,1,1,1,0,1
12,1,0,0,1,1
13,0,1,1,0,1
14,1,0,1,1,0
15,1,1,1,0,0
16,0,1,1,0,1
17,0,1,0,1,0
18,1,0,1,0,1
19,0,1,0,1,1
20,0,0,1,0,0
21,1,0,0,0,0
22,0,1,1,1,0
23,1,0,0,0,1
24,0,0,0,0,1
25,0,1,0,1,0
26,1,0,0,1,1
27,0,1,1,0,1
28,1,1,0,1,1
29,1,0,1,1,1
30,1,0,0,1,1
31,1,1,1,1,0
32,0,1,0,0,0
33,0,0,0,1,0
34,0,0,0,0,1
35,0,0,0,1,1
36,1,1,1,0,0
37,1,0,0,1,0
38,1,0,0,1,0
39,1,1,0,0,1
40,1,1,1,1,0
41,0,0,1,1,0
42,1,0,1,1,1
43,0,0,0,0,0
44,1,1,1,0,1
45,0,1,1,1,0
46,1,0,0,0,0
47,1,1,0,0,1
48,0,0,0,0,0
49,0,1,1,1,0
50,1,0,1,0,0
51,0,0,1,0,0
52,0,0,1,0,1
53,0,0,1,0,1
54,0,0,1,1,0
55,0,0,1,0,0
56,0,1,0,0,0
57,0,1,1,1,1
58,0,1,0,1,0
59,0,0,1,0,1
60,1,0,1,1,1
61,0,0,1,0,1
62,1,1,0,1,0
63,0,0,0,1,1
64,1,1,0,0,0
65,0,0,0,1,0
66,0,0,1,1,0
67,0,1,1,0,1
68,0,0,0,1,0
69,1,0,1,1,1
70,0,0,1,0,1
71,1,0,0,1,0
72,0,1,0,0,0
73,1,0,1,0,1
74,1,1,0,1,0
75,0,1,0,1,1
76,1,1,0,1,0
77,1,0,1,1,0
78,0,1,0,0,1
79,1,1,1,1,1
80,1,1,1,0,1
81,0,0,0,1,1
82,1,0,1,1,0
83,1,1,0,1,0
84,1,0,1,1,1
85,1,1,1,1,1
86,0,1,0,0,0
87,1,1,1,0,1
88,1,0,0,0,1
89,0,0,0,0,1
90,1,0,0,1,0
91,0,1,1,0,0
92,1,0,0,0,0
93,1,0,1,1,1
94,0,0,0,1,0
95,1,1,0,0,1
96,1,1,0,0,0
97,0,0,0,0,1
98,0,0,1,1,1
99,1,1,0,1,0
100,1,0,1,1,0
101,0,1,1,1,0
102,0,0,0,0,1
103,0,0,1,0,0
104,1,1,0,1,1
105,1,0,0,0,0
106,1,0,1,0,0
107,0,0,1,0,1
108,0,1,1,1,0
109,0,0,1,0,1
110,1,1,1,0,0
111,1,0,0,0,0
112,1,0,1,1,1
113,1,1,1,0,1
114,1,1,1,0,0
115,0,0,1,1,0
116,1,0,1,1,0
117,0,1,0,0,1
118,1,1,1,0,1
119,0,0,1,0,1
120,0,1,0,0,0
121,0,0,0,0,0
122,0,1,0,1,1
123,1,1,1,0,1
124,0,0,0,0,0
125,1,0,0,0,0
126,1,1,0,1,1
127,0,0,0,1,0
128,0,1,0,0,1
129,0,1,0,1,0
130,0,0,0,0,1
131,1,1,1,0,1
132,0,0,1,0,0
133,0,1,1,0,1
134,1,1,1,1,0
135,0,1,1,1,0
136,1,1,0,1,0
137,0,1,1,0,0
138,0,1,0,0,0
139,0,0,0,1,0
140,1,0,1,0,0
141,1,0,0,0,1
142,0,0,1,1,0
143,0,0,1,0,1
144,1,0,0,0,1
145,1,0,1,0,0
146,0,1,0,0,1
147,1,1,0,1,1
148,1,0,1,0,1
149,1,0,0,0,1
150,1,1,1,1,0
151,0,0,0,0,0
152,1,1,0,0,1
153,0,0,0,0,1
154,1,0,0,1,1
155,1,1,1,1,0
156,0,1,0,1,1
157,0,0,0,0,1
158,0,1,0,0,0
159,0,1,1,1,0
160,1,0,1,0,0
161,0,0,1,0,0
162,0,1,0,1,1
163,1,0,1,0,0
164,0,1,0,0,1
165,0,0,0,1,1
166,1,1,0,1,0
167,1,0,0,1,1
168,1,1,0,0,1
169,1,0,1,0,0
170,1,1,1,0,0
171,1,1,1,1,1
172,1,1,1,0,0
173,0,0,1,1,0
174,1,1,1,0,0
175,0,0,0,0,0
176,1,0,1,0,1
177,0,1,1,0,1
178,1,1,1,1,0
179,0,0,1,1,0
180,0,0,1,0,0
181,1,1,1,1,0
182,1,1,1,1,1
183,1,0,0,1,1
184,0,1,0,1,1
185,1,0,0,0,0
186,1,1,0,0,0
187,0,0,1,0,1
188,0,1,1,1,1
189,1,0,0,1,0
190,0,0,0,1,1
191,0,0,0,1,1
192,0,1,0,1,0
193,1,0,0,0,0
194,0,0,0,0,1
195,0,1,1,0,0
196,0,1,1,0,1
197,0,0,0,0,0
198,0,0,1,1,0
199,1,0,0,0,1
200,0,1,1,1,1
201,0,1,1,0,0
202,0,0,1,1,0
203,0,1,0,1,0
204,0,0,0,1,0
205,1,0,0,0,1
206,1,0,1,1,1
207,1,1,1,0,1
208,0,0,0,1,0
209,0,1,0,0,0
210,1,0,0,1,1
211,0,0,1,1,1
212,0,1,0,1,1
213,1,0,1,0,0
214,0,0,0,0,1
215,1,1,1,0,0
216,1,0,0,0,0
217,0,1,1,1,0
218,0,0,0,1,0
219,1,1,1,1,1
220,1,0,0,0,0
221,0,0,1,0,1
222,0,0,1,1,1
223,1,1,1,1,1
224,0,1,0,0,1
225,0,0,0,0,1
226,1,1,0,0,0
227,1,1,0,0,1
228,0,1,1,1,1
229,0,0,1,0,1
230,1,0,0,1,0
231,1,1,1,0,1
232,0,0,1,0,0
233,0,1,1,0,1
234,0,0,0,0,0
235,1,0,1,1,0
236,0,0,1,0,1
237,1,0,1,1,0
238,0,0,0,0,0
239,0,0,1,1,1
240,0,0,1,1,0
241,1,0,1,0,1
242,0,0,1,0,0
243,0,0,1,1,1
244,1,0,0,1,1
245,0,0,0,0,1
246,0,0,1,1,1
247,1,1,1,0,0
248,0,1,1,0,0
249,1,0,1,1,1
250,0,0,1,0,1
251,0,1,0,1,0
252,1,0,0,1,1
253,0,1,0,0,1
254,1,0,1,0,1
255,0,1,0,1,0
256,1,0,0,1,0
257,0,0,1,1,0
258,1,0,0,1,1
259,0,0,0,0,0
260,1,0,1,0,1
261,1,1,0,0,1
262,0,0,1,1,1
263,1,1,0,1,1
264,1,1,1,1,0
265,1,1,1,0,1
266,0,0,1,1,1
267,0,1,1,1,0
268,1,0,0,1,0
269,0,0,1,0,0
270,0,0,0,1,0
271,0,1,1,0,0
272,1,1,0,0,1
273,1,1,0,1,0
274,0,0,0,1,0
275,0,0,0,0,1
276,1,1,1,1,0
277,1,0,0,1,0
278,0,0,0,1,1
279,1,0,0,1,0
280,1,1,1,0,1
281,1,0,0,1,1
282,1,0,1,0,0
283,1,1,1,1,1
284,1,1,1,1,1
285,1,0,1,1,0
286,1,1,0,1,0
287,0,0,1,0,0
288,1,1,0,0,0
289,0,1,1,1,0
290,0,0,0,1,0
291,1,0,0,1,0
292,0,0,0,0,0
293,0,0,0,1,0
294,1,0,0,0,1
295,0,1,0,0,1
296,1,1,0,1,1
297,1,0,1,0,0
298,0,1,0,1,0
299,0,1,0,1,1
300,1,0,1,0,1
301,0,1,0,1,0
302,0,0,0,0,0
303,1,1,1,1,0
304,1,1,1,1,1
305,0,0,1,1,1
306,1,0,0,1,0
307,1,1,1,0,0
308,0,1,0,0,1
309,0,0,1,0,1
310,1,1,1,1,1
311,1,1,0,0,0
312,1,0,1,0,1
313,1,1,1,1,1
314,0,0,1,0,0
315,0,1,0,0,1
316,1,1,1,1,0
317,1,1,0,1,1
318,0,0,1,1,0
319,0,0,1,0,0
320,0,0,0,0,0
321,1,1,0,0,1
322,0,1,1,0,1
323,0,0,0,0,1
324,0,0,0,1,1
325,0,0,0,1,0
326,0,0,1,0,0
327,0,1,0,0,0
328,0,0,0,1,1
329,0,0,1,1,0
330,1,0,1,1,0
331,0,0,0,1,0
332,1,0,1,1,0
333,1,0,0,0,0
334,1,0,1,0,0
335,0,0,0,0,0
336,1,0,0,0,1
337,0,0,1,1,0
338,0,1,0,0,1
339,1,0,1,0,1
340,1,1,0,0,0
341,1,1,1,1,0
342,1,0,1,1,1
343,0,1,1,1,0
344,0,1,0,1,0
345,1,1,0,0,0
346,0,1,1,1,0
347,0,0,1,1,0
348,1,0,0,1,0
349,0,1,0,1,1
350,1,0,0,0,0
351,0,1,1,1,1
352,0,0,0,1,0
353,1,1,1,0,1
354,1,1,0,1,1
355,0,0,0,1,1
356,1,0,1,0,1
357,1,1,1,1,0
358,0,0,1,0,1
359,1,0,0,1,0
360,0,1,0,1,1
361,1,1,1,0,1
362,1,1,1,0,0
363,1,1,1,1,0
364,0,0,0,1,1
365,0,0,1,0,1
366,1,0,1,0,1
367,1,1,1,1,0
368,0,1,0,1,1
369,0,1,0,0,1
370,1,1,1,1,1
371,0,1,0,1,1
372,0,0,1,1,0
373,1,1,1,1,1
374,1,0,0,1,1
375,1,1,1,0,0
376,0,1,0,1,0
377,1,1,0,1,1
378,1,1,1,0,0
379,0,1,1,0,1
380,1,0,1,0,0
381,1,1,1,1,0
382,0,0,0,1,1
383,0,0,1,1,0
384,0,1,1,1,0
385,0,0,0,1,1
386,1,0,0,0,0
387,0,0,1,0,0
388,1,1,1,0,0
389,1,0,1,1,1
390,0,1,0,0,0
391,0,0,1,0,1
392,1,0,1,1,0
393,0,1,0,1,1
394,1,1,0,0,1
395,0,0,0,1,1
396,1,0,1,0,0
397,0,1,0,0,1
398,0,1,1,0,1
399,0,0,0,1,0
400,0,1,1,0,1
401,1,0,1,0,0
402,1,1,0,1,0
403,0,0,1,1,0
404,0,0,0,0,1
405,0,1,1,1,1
406,1,0,1,0,0
407,1,1,0,0,0
408,0,1,1,0,1
409,0,0,1,0,1
410,0,1,1,1,1
411,1,0,1,1,0
412,0,0,0,1,0
413,1,0,0,1,0
414,0,1,1,1,0
415,1,1,0,1,0
416,1,0,0,1,0
417,1,1,1,1,1
418,0,0,0,0,1
419,0,1,1,1,0
420,0,1,1,1,0
421,1,0,0,0,1
422,0,1,0,1,0
423,1,1,0,1,1
424,1,1,1,0,0
425,0,1,1,1,1
426,1,1,1,0,1
427,0,0,1,1,1
428,0,1,1,1,1
429,1,1,0,0,1
430,1,1,1,0,0
431,0,0,1,0,1
432,1,1,0,1,0
433,1,0,1,1,0
434,0,1,0,0,0
435,1,1,1,0,1
436,1,0,1,1,1
437,0,1,1,1,0
438,0,1,0,1,1
439,1,0,1,1,0
440,0,1,1,1,0
441,1,0,0,1,1
442,0,0,0,0,0
443,1,1,0,1,0
444,0,1,1,1,0
445,1,1,1,0,0
446,1,1,1,0,1
447,1,0,0,0,1
448,0,1,0,1,0
449,1,1,0,0,0
450,0,0,1,1,0
451,0,1,1,0,1
452,1,1,0,1,0
453,0,1,1,0,0
454,0,0,0,1,1
455,1,1,0,0,1
456,0,1,0,1,1
457,0,0,1,1,0
458,0,1,0,0,1
459,1,0,1,1,0
460,1,1,0,0,1
461,0,1,0,1,0
462,0,1,0,0,1
463,1,0,0,0,1
464,0,1,0,1,1
465,1,1,0,1,1
466,1,0,0,1,1
467,1,1,1,1,1
468,1,0,1,0,0
469,1,0,0,0,1
470,1,1,0,1,0
471,0,1,0,0,1
472,1,0,0,0,0
473,0,1,1,0,1
474,0,1,1,1,0
475,1,0,0,0,1
476,1,0,0,1,0
477,0,1,0,0,1
478,0,0,0,1,0
479,0,1,1,1,0
480,1,1,1,1,0
481,1,0,1,1,1
482,0,1,1,0,0
483,0,0,0,1,1
484,0,0,0,1,1
485,0,1,0,0,0
486,1,0,1,0,0
487,0,0,1,0,1
488,0,1,0,1,1
489,0,0,0,0,0
490,1,0,1,0,1
491,0,1,1,1,1
492,0,0,0,1,0
493,1,1,1,0,0
494,1,0,0,0,0
495,0,0,0,1,1
496,1,0,0,0,1
497,1,1,0,0,1
498,0,1,0,1,1
499,0,1,1,0,1
500,0,1,0,1,0
501,0,1,1,1,1
502,0,1,0,1,1
503,1,1,0,1,0
504,0,0,1,1,1
505,1,0,0,1,0
506,1,0,1,0,1
507,1,1,1,1,1
508,0,1,0,0,1
509,1,1,0,0,1
510,1,0,0,0,0
511,0,0,1,0,0
512,0,1,1,1,0
513,0,1,1,1,1
514,1,0,1,0,1
515,1,0,1,1,1
516,0,1,0,0,0
517,1,0,1,0,1
518,1,0,0,0,0
519,1,1,1,0,1
520,1,1,1,0,1
521,1,0,1,1,1
522,0,1,0,1,0
523,0,1,0,0,1
524,1,0,0,1,0
525,0,1,1,1,1
526,0,1,0,0,1
527,0,0,0,0,1
528,1,1,0,1,0
529,1,0,1,1,1
530,1,1,0,0,1
531,0,1,0,0,0
532,0,0,0,0,1
533,1,0,0,0,1
534,1,0,0,1,0
535,0,1,0,0,0
536,1,1,1,0,0
537,0,1,1,1,0
538,0,0,1,0,0
539,0,1,0,1,0
540,1,0,1,1,1
541,1,1,0,1,1
542,0,1,0,1,1
543,0,1,1,0,0
544,0,1,1,1,0
545,1,1,1,1,1
546,1,1,0,0,1
547,0,0,1,1,0
548,1,0,1,0,0
549,1,0,1,0,1
550,0,0,0,1,1
551,1,1,0,1,1
552,0,0,1,1,1
553,1,0,0,1,1
554,0,1,0,1,0
555,0,1,0,1,0
556,1,0,1,1,0
557,1,1,0,0,1
558,0,1,0,0,1
559,0,1,1,0,1
560,1,0,0,1,1
561,1,1,0,0,1
562,1,1,1,0,0
563,0,1,1,1,1
564,0,1,1,1,0
565,1,0,1,0,0
566,1,0,0,1,0
567,0,1,1,1,0
568,0,1,1,0,0
569,1,1,1,1,1
570,1,0,0,1,0
571,1,0,0,1,0
572,0,1,1,0,1
573,0,0,1,0,1
574,0,0,0,0,1
575,1,1,1,0,0
576,1,1,1,0,0
577,0,1,0,1,0
578,0,1,0,1,1
579,1,0,1,0,0
580,1,1,1,1,0
581,1,0,1,0,1
582,1,1,1,0,0
583,0,1,0,1,0
584,1,0,0,1,1
585,1,0,1,0,0
586,0,1,1,0,0
587,0,0,1,0,0
588,0,0,1,1,0
589,1,1,0,1,1
590,1,0,1,0,1
591,1,1,0,0,0
592,1,0,0,1,0
593,0,0,1,0,1
594,0,0,1,1,0
595,1,0,1,0,1
596,1,1,0,0,1
597,0,1,0,0,0
598,1,1,0,0,1
599,1,1,0,0,1
600,1,0,0,1,1
601,0,1,1,0,0
602,0,0,0,0,0
603,0,0,0,1,1
604,0,0,1,0,1
605,1,0,0,1,1
606,0,0,0,1,1
607,1,1,1,1,1
608,1,1,1,0,1
609,0,1,1,0,1
610,0,1,0,1,0
611,1,0,1,0,0
612,1,0,0,1,1
613,1,0,0,0,1
614,0,1,0,1,0
615,0,0,1,0,0
616,0,0,0,1,0
617,0,0,0,1,1
618,1,1,0,1,1
619,1,1,1,0,0
620,0,1,0,0,1
621,1,0,0,1,1
622,0,0,1,1,1
623,1,1,0,0,0
624,1,1,0,1,1
625,1,1,1,1,1
626,0,0,1,0,0
627,0,1,0,1,1
628,0,1,0,1,0
629,0,1,0,1,1
630,1,1,1,0,1
631,1,0,0,0,1
632,0,1,1,1,1
633,0,1,1,0,0
634,0,0,0,1,0
635,1,1,1,0,0
636,0,0,0,1,0
637,1,0,0,1,1
638,0,1,0,0,1
639,1,0,1,0,0
640,0,1,0,1,1
641,1,0,1,1,0
642,0,0,1,1,1
643,0,1,0,0,1
644,0,1,0,0,1
645,1,0,0,0,1
646,1,1,0,0,1
647,0,1,1,1,0
648,0,0,0,1,1
649,1,0,1,0,0
650,1,0,1,0,1
651,0,0,0,0,1
652,0,1,1,0,1
653,1,0,0,0,0
654,1,1,1,0,1
655,0,1,1,1,0
656,0,0,0,0,0
657,0,0,0,0,0
658,1,1,1,1,1
659,0,0,0,0,1
660,0,0,0,1,0
661,0,0,1,0,1
662,1,0,0,0,0
663,0,0,0,1,0
664,1,0,1,1,0
665,0,1,1,0,1
666,1,0,1,1,0
667,1,1,1,1,0
668,0,0,0,0,1
669,1,1,0,0,1
670,0,1,1,1,0
671,0,0,0,1,0
672,1,1,1,0,0
673,1,1,0,0,0
674,1,1,1,1,0
675,1,1,1,0,0
676,1,1,1,0,1
677,1,1,0,0,0
678,1,1,0,0,0
679,0,0,1,0,1
680,0,1,0,0,0
681,1,0,0,0,1
682,1,0,0,1,0
683,1,1,0,1,1
684,1,0,1,0,1
685,0,0,0,1,1
