id,name,cate,corp,renamecardimage,cardimage,pre,discontinue,sharestate,annual
1,신한카드 Hi-Point,CRD,신한카드,https://api.card-gorilla.com:8080/storage/card/1/card_img/20083/1card.png,https://api.card-gorilla.com:8080/storage/card/1/card_img/20083/1card.png,16,0,1,2
2,신한카드 Love,CRD,신한카드,https://api.card-gorilla.com:8080/storage/card/2/card_img/20084/2card.png,https://api.card-gorilla.com:8080/storage/card/2/card_img/20084/2card.png,18,0,1,4
3,신한카드 Lady,CHK,신한카드,https://api.card-gorilla.com:8080/storage/card/3/card_img/20085/3card.png,https://api.card-gorilla.com:8080/storage/card/3/card_img/20085/3card.png,36,0,1,1
4,SK에너지 신한카드The you,CHK,신한카드,https://api.card-gorilla.com:8080/storage/card/4/card_img/20086/4card.png,https://api.card-gorilla.com:8080/storage/card/4/card_img/20086/4card.png,25,0,1,8
5,GS칼텍스 신한카드Dream 100,CRD,신한카드,https://api.card-gorilla.com:8080/storage/card/5/card_img/20087/5card.png,https://api.card-gorilla.com:8080/storage/card/5/card_img/20087/5card.png,13,0,1,2
6,신한카드 Cube,CHK,신한카드,https://api.card-gorilla.com:8080/storage/card/6/card_img/20088/6card.png,https://api.card-gorilla.com:8080/storage/card/6/card_img/20088/6card.png,5,0,1,4
7,신한카드 23.5°,CHK,신한카드,https://api.card-gorilla.com:8080/storage/card/7/card_img/20089/7card.png,https://api.card-gorilla.com:8080/storage/card/7/card_img/20089/7card.png,13,0,1,2
8,신한카드 The CLASSIC-Y,CHK,신한카드,https://api.card-gorilla.com:8080/storage/card/8/card_img/20090/8card.png,https://api.card-gorilla.com:8080/storage/card/8/card_img/20090/8card.png,16,0,1,8
9,신한카드 아이행복,CHK,신한카드,https://api.card-gorilla.com:8080/storage/card/9/card_img/20091/9card.png,https://api.card-gorilla.com:8080/storage/card/9/card_img/20091/9card.png,46,0,1,6
10,신한카드 B.Big(삑),CRD,신한카드,https://api.card-gorilla.com:8080/storage/card/10/card_img/24226/10card.png,https://api.card-gorilla.com:8080/storage/card/10/card_img/24226/10card.png,43,0,1,2
11,신한카드 Simple+,CRD,신한카드,https://api.card-gorilla.com:8080/storage/card/11/card_img/20093/11card.png,https://api.card-gorilla.com:8080/storage/card/11/card_img/20093/11card.png,34,0,1,1
12,신한카드 Air Platinum#,CHK,신한카드,https://api.card-gorilla.com:8080/storage/card/12/card_img/20094/12card.png,https://api.card-gorilla.com:8080/storage/card/12/card_img/20094/12card.png,19,0,1,0
13,신한카드 Mr.Life,CRD,신한카드,https://api.card-gorilla.com:8080/storage/card/13/card_img/20095/13card.png,https://api.card-gorilla.com:8080/storage/card/13/card_img/20095/13card.png,20,0,1,1
14,신한카드 YOLO ⓘ,CRD,신한카드,https://api.card-gorilla.com:8080/storage/card/14/card_img/20096/14card.png,https://api.card-gorilla.com:8080/storage/card/14/card_img/20096/14card.png,8,0,1,6
15,신한카드 The CLASSIC+,CRD,신한카드,https://api.card-gorilla.com:8080/storage/card/15/card_img/20097/15card.png,https://api.card-gorilla.com:8080/storage/card/15/card_img/20097/15card.png,41,0,1,7
16,신한카드 RPM+ Platinum#,CRD,신한카드,https://api.card-gorilla.com:8080/storage/card/16/card_img/20098/16card.png,https://api.card-gorilla.com:8080/storage/card/16/card_img/20098/16card.png,31,0,1,1
